x,a
0,0.023720289928983885
1,-0.009839045764675817
2,-0.005315456846744434
3,-7.816007641907585e-06
4,-0.010454320049002026
5,-0.027027895074611962
6,0.042709538318962036
7,-0.06095374959285669
8,-0.01729456835749025
9,-0.015204745689150725
10,-0.012692485755058902
11,-0.013739753083207658
12,0.017267674247992398
13,0.0028734384242498855
14,-0.01117228266986068
15,0.006508740983868166
16,-0.045989320591639814
17,0.01682368590361906
18,0.08246839188296928
19,-0.02997165236334929
20,-0.02500071037723355
21,-0.0004578196814697035
22,0.026974005381313212
23,0.04493661350794894
24,0.12018319002991056
25,0.24848210910097945
26,0.4458884687417693
27,0.7215474686453149
28,1.1362063651425187
29,1.7655454443777514
30,2.3439142366502836
31,3.00323446033674
32,3.593981989805947
33,3.8992879939207046
34,3.982483708043458
35,3.7601850127972107
36,3.3247956445136997
37,2.6638879181568007
38,2.019305693569419
39,1.4912648722693829
40,0.9584028831759079
41,0.603470928141641
42,0.361211538333717
43,0.20936308655560298
44,0.05340484369689827
45,0.01304965247382806
46,0.006144165072253955
47,-0.010868539546178762
48,0.05653015605965836
49,0.16033234722049983
50,0.40104172575147795
51,0.7069854693206231
52,1.0829556028329042
53,1.4306489656084358
54,1.571135387570206
55,1.4671375998921385
56,1.0639153134239958
57,0.6917067752733123
58,0.3728547302563624
59,0.1104722829227981
60,0.07885385190302194
61,0.02576864373820434
62,-0.02406119861644656
63,-0.050789379555277056
64,0.018445480834941307
65,0.02186517541740623
66,0.017738372747898846
67,0.026259508492838056
68,0.01294203172713806
69,0.020932148181816223
70,-0.03005149412357696
71,0.034214637028910956
72,-0.04361228546641595
73,0.00033000651799406933
74,-0.025426152476834853
75,0.019611106340352444
76,-0.02269290564015481
77,-0.054716435070408964
78,-0.004023725038170645
79,0.008969998215771668
80,0.043193666033926395
81,0.010777844080330123
82,0.016331554453608104
83,-0.007941037774770239
84,0.033068526671926904
85,-0.011157364907862543
86,0.002820888722515081
87,0.008434783786385968
88,0.03501350353354359
89,-0.025554478687711293
90,-0.008586748167623214
91,-0.005581193612246882
92,-0.01931205485646514
93,0.04985463207695422
94,0.027401933366928186
95,4.571383904945851e-05
96,0.006266936131321672
97,0.009462902534278745
98,0.014376229323866244
99,0.01075066400972847
100,0.001105186165295212
101,-0.017329616027333544
102,-0.04876851591748778
103,0.023459031087633607
104,-0.022803284769999883
105,0.007438119418095425
106,-0.044318175466215685
107,-0.027574243761212154
108,-0.035339237400379545
109,0.006485988895693282
110,0.026725101750241773
111,-0.012907933881059631
112,0.002966272693730462
113,0.013543986547965596
114,0.015967486259507016
115,-0.01940324244830618
116,0.015731889007354737
117,0.00576488933812083
118,0.034117407346825175
119,0.009365846594647934
